feature,feature_type,psi,ks_stat,p_value,js_divergence
archetype,categorical,,,,7.510088414373087e-06
avs_result,categorical,,,,2.546760673736485e-05
billing_country,categorical,,,,6.962333813887226e-05
card_brand,categorical,,,,6.74001440466597e-06
card_category,categorical,,,,0.0
card_commercial_type,categorical,,,,1.16144700443001e-06
card_country,categorical,,,,6.962333813887226e-05
card_funding_source,categorical,,,,1.4266227849794562e-05
card_product_type,categorical,,,,1.4266227849794562e-05
card_type,categorical,,,,1.4266227849794562e-05
cardholder_verification_method,categorical,,,,2.7971048555473776e-05
currency,categorical,,,,0.00010193710028102054
cvv_result,categorical,,,,2.3280461716038863e-05
decline_bucket,categorical,,,,3.2808780892887695e-06
device_os,categorical,,,,5.842992773035373e-06
entry_mode,categorical,,,,1.8698725483480355e-05
ip_country,categorical,,,,7.09320129738876e-05
issuer_bank_country,categorical,,,,6.962333813887226e-05
issuer_country,categorical,,,,6.962333813887226e-05
issuer_size,categorical,,,,7.96343104758374e-06
latency_bucket,categorical,,,,2.631487704143769e-06
merchant_country,categorical,,,,0.02882552098522614
merchant_vertical,categorical,,,,4.308214275975015e-06
pan_entry_mode,categorical,,,,1.8698725483480355e-05
payment_method,categorical,,,,0.0
payment_method_details,categorical,,,,0.0
present_mode,categorical,,,,2.643199155443306e-05
processor_name,categorical,,,,0.013004097120991112
response_code,categorical,,,,5.8608132627832496e-05
response_message,categorical,,,,5.860813262783751e-05
risk_model_version,categorical,,,,0.0
routed_network,categorical,,,,3.0072181405241732e-05
routing_reason,categorical,,,,0.0
sca_exemption,categorical,,,,7.89779207359032e-06
scheme_response_code,categorical,,,,5.8608132627832496e-05
settlement_currency,categorical,,,,0.024665317667595506
shipping_country,categorical,,,,0.02903694006133653
three_ds_flow,categorical,,,,6.741183671302338e-06
three_ds_outcome,categorical,,,,6.777617908530203e-06
token_type,categorical,,,,1.4619656006750254e-06
transaction_type,categorical,,,,0.0
user_agent_family,categorical,,,,8.161330974618445e-09
wallet_type,categorical,,,,1.9450662817963924e-06
account_updater_used,numeric,0.0,0.0002787456445992875,1.0,
amount,numeric,0.00021209016614999636,0.004413472706155608,0.9999647763844166,
amount_usd,numeric,0.00017807506780147248,0.0039721254355400415,0.9999977752840943,
avs_street_match,numeric,0.0,0.0022996515679442053,1.0,
avs_zip_match,numeric,0.0,0.0022996515679442053,1.0,
event_dayofweek,numeric,6.488598527802009e-05,0.0014982578397212398,1.0,
event_hour,numeric,0.00036944493491764576,0.006225319396051088,0.9888031630934886,
event_month,numeric,0.026357296156817842,0.27121951219512197,0.0,
fraud_flag,numeric,0.0,0.0,1.0,
fx_applied,numeric,0.0,0.0015214866434378749,1.0,
fx_bps,numeric,0.0,0.0018350754936120595,1.0,
fx_rate,numeric,0.0026229239570993977,0.013143832076080324,0.9999999998890637,
interchange_estimate_bps,numeric,0.00048129990428670517,0.008478513356562134,0.8566097897985349,
is_cross_border,numeric,0.0,0.0025087108013936987,0.9999999999999994,
is_soft_decline,numeric,0.0,0.001358885017421596,1.0,
is_token,numeric,0.0,0.0004645760743322569,1.0,
is_weekend,numeric,0.0,0.0014982578397212398,1.0,
latency_3ds_ms,numeric,6.720578434303433e-05,0.0045063879210220925,0.9999431454948038,
latency_auth_ms,numeric,0.0003034609302007985,0.004065040650406582,0.999995702974009,
latency_ms,numeric,0.0003951060719190696,0.004262485481997591,0.9999849040076877,
mastercard_advice_code,numeric,0.006461648947501279,0.037624112083513205,0.8571807080069765,
mcc_routing_optimized,numeric,0.0,0.00207897793263645,1.0,
merchant_mcc,numeric,0.0002326350098601424,0.00473867595818811,0.9998336591543092,
network_token_present,numeric,0.0,0.0007665505226480684,1.0,
processor_fee_bps,numeric,0.00014168080436839973,0.004703832752613324,0.9998569308593126,
risk_score,numeric,0.00032787425868142147,0.004425087108013925,0.9999625407581995,
risk_skip_flag,numeric,0.0,0.0014982578397212398,1.0,
routing_optimized,numeric,0.0,0.0008013937282229655,1.0,
scheme_fee_bps,numeric,0.00018632982145532244,0.004239256678281067,0.999986858008036,
scheme_ms,numeric,0.00041182016927480725,0.005876887340302006,0.9944280070667081,
smart_routed,numeric,0.0,0.003089430894308909,0.9999999998429924,
three_ds_eci,numeric,0.00040723939707965317,0.009437795946979594,0.9914238723852324,
three_ds_requested,numeric,0.0,0.0032984901277584022,0.9999999969223591,
three_ds_version,numeric,0.0,0.0017432999349071376,1.0,
timeout_flag,numeric,0.0,0.0001626016260162233,1.0,
