feature,mean_abs_shap
is_soft_decline,0.7377561624818376
risk_skip_flag,0.522975335249541
response_code,0.2657828601172642
interchange_estimate_bps,0.1410758056695967
processor_name,0.1388228821973907
merchant_vertical,0.13733755133565284
scheme_ms,0.08374283421810011
card_country,0.06958621111672281
archetype,0.06222569172409734
shipping_country,0.04866056201858861
latency_3ds_ms,0.037106130004908894
processor_fee_bps,0.03601705759162103
ip_country,0.035980921559671586
scheme_fee_bps,0.03540565645067963
latency_ms,0.03456886259351511
mastercard_advice_code,0.03262179509338965
amount,0.03129722374946672
three_ds_eci,0.02698309039124219
amount_usd,0.024598240585223023
event_hour,0.02415971846055387
response_message,0.021064148181432048
merchant_country,0.019697326683763696
risk_score,0.019293082275603043
decline_bucket,0.018835778522152558
latency_auth_ms,0.01879657723289921
event_month,0.018129822453828544
billing_country,0.0132863445963054
merchant_mcc,0.010770732251443841
settlement_currency,0.009728134161415984
event_dayofweek,0.009513239545366812
card_type,0.00893647041355262
device_os,0.007592529829899673
issuer_country,0.007240100792006678
present_mode,0.0068449734457300985
network_token_present,0.00617626596575248
issuer_size,0.0059137418981816195
three_ds_flow,0.005869024836097418
three_ds_version,0.0049941849998482645
cvv_result,0.004865311612644255
three_ds_requested,0.004463849505476342
currency,0.004271254949817232
avs_result,0.0041237807673606235
user_agent_family,0.0038219633389351723
smart_routed,0.002906807220359512
is_cross_border,0.002744221839297656
is_token,0.0026612963352173656
avs_zip_match,0.00262025579091854
scheme_response_code,0.0022564795065243663
card_commercial_type,0.001841751808950375
card_funding_source,0.0014371174189637766
card_brand,0.0014206169449713028
account_updater_used,0.0012533439728615561
is_weekend,0.001132798290855761
token_type,0.0010093428398943109
cardholder_verification_method,0.0008209193547380961
routing_optimized,0.0006825042331447031
fx_rate,0.0003343714697942872
routing_reason,0.0
latency_bucket,0.0
sca_exemption,0.0
three_ds_outcome,0.0
fx_applied,0.0
entry_mode,0.0
risk_model_version,0.0
fraud_flag,0.0
timeout_flag,0.0
issuer_bank_country,0.0
payment_method_details,0.0
avs_street_match,0.0
wallet_type,0.0
pan_entry_mode,0.0
payment_method,0.0
card_product_type,0.0
card_category,0.0
mcc_routing_optimized,0.0
routed_network,0.0
transaction_type,0.0
fx_bps,0.0
